^\d+\t([\w/]*)\s*\t\d+\t\d+\t(\w*)
\1 \2
行政單位 
學術單位 
秘書室 SEC
教務處 JWC
學務處 STU
研究發展處 RAD
總務處 AFF
國際事務處 IAO
人事室 PER
主計室 ACC
體育室 PHY
圖書館 ARY
計算機及資訊網路中心 INF
藝術中心 ART
校友中心 ALU
師資培育中心 EDU
環境保護暨安全衛生中心 SHC
產學智財營運中心 CAI
文學院 CLA
農業暨自然資源學院 AGR
理學院 SCI
工學院 COE
生命科學院 LIF
獸醫學院 VMC
管理學院 COM
法政學院 CLP
通識教育中心 CAH
生物科技發展中心 BTC
奈米科技中心 NAN
人文與社會科學研究中心 HUM
學位學程 
農藝學系 NYS
園藝學系 YYS
森林學系 SLS
應用經濟學系 YJS
土木工程學系所 TMS
機械工程學系所 DME
環境工程學系所 DEV
電機系_通訊所_光電所 DEE
化學系 HSS
中國文學系 CWS
外國語文學系 FLL
歷史學系 HIS
圖書資訊學研究所 GIL
植物病理學系 DPP
昆蟲學系 KCS
動物科學系 DKS
土壤環境科學系 SOI
水土保持學系 SWC
食品暨應用生物科技學系 FSB
生物產業機電工程學系 BME
生物科技學研究所 GIA
生物產業管理研究所 BIM
農業企業經營管理碩士在職專班 NCB
應用數學系/統計學研究所 MAT
物理學系/奈米科學研究所 WLS
資訊科學與工程學系 CSE
化學工程學系 HGX
材料科學與工程學系 DMC
精密工程研究所 GPE
創新產業推廣學院 SII
生醫工程研究所 GBE
生命科學系 SKS
分子生物學研究所 IMB
生物醫學研究所 IBM
生命科學院碩士在職專班 IMP
基因體暨生物資訊學研究所 CZS
獸醫學系 DVM
微生物暨公共衛生學研究所 WWS
獸醫病理生物學研究所 LVP
財務金融學系 DOF
企業管理學系 DBA
行銷學系 DOM
資訊管理學系 DMI
會計學系 KJS
科技管理研究所 GTM
高階經理人碩士在職專班 EMB
運動與健康管理研究所 GSH
法律學系 LAW
國際政治研究所 GIO
國家政策與公共事務研究所 GIN
教師專業發展研究所 JFS
語言中心 TLC
實驗林管理處 EFN
農業試驗場 AES
園藝試驗場 DOH
畜產試驗場 XSC
食品暨生技實習工廠 FPP
農業機械實習工廠 AGM
土壤調查試驗中心 SST
農業推廣中心 AEC
農業自動化中心 AAC
農產品驗證中心 APA
機械實習工廠 TMW
工程科技研發中心 CRD
獸醫教學醫院 VMT
動物疾病診斷中心 ADD
校務系統組 ASG
教務長室 OAA
招生暨資訊組 DRI
教學資源暨發展中心 DTL
註冊組 DOR
課務組 DOC
生涯發展中心 CDC
住宿輔導組 SHS
教官室 OME
衛生保健組 HEA
僑生輔導室 OCS
學務長室 OSA
生活輔導組 DSL
課外活動指導組 DEA
諮商中心 COU
出納組 CAS
事務組 DSG
保管組 DPM
經營管理組 DBE
駐警隊 CSS
營繕組 DCM
總務長室 OGA
處本部 OIA
大陸事務組 DMA
外籍學生事務組 FSA
學術交流組 DAE
處長室 ORD
計畫業務組 DPA
校務企劃組 DOP
頂尖大學計畫辦公室 TUP
貴重儀器中心 CRI
人事室各組 PE0
人事室一組 PE1
人事室二組 PE2
人事室三組 PE3
人事室四組 PE4
館長室 LIB
資訊組 SYS
期刊組 SER
採編組 ACQ
參考組 REF
典藏組 CIR
校史館組 DSH
主任室 CIN
服務諮詢組 USG
研究發展組 RDG
資源管理組 CRG
資訊網路組 ING
生物化學研究所 BIO
學術發展組 DAD
醫學生物科技博士學程 MED
產業發展研究中心 IDR
磐石產學研究中心 AIR
轉譯醫學博士學位學程 ZYY
惠蓀林場 HEF
台灣文學與跨國文化研究所 TAI
生物科技學士學位學程 CAT
景觀與遊憩學士/碩士學位學程 PLR
生物產業管理進修學士學位學程 BPB
國際農學碩士/學士學位學程 IBP
實習商店 SHO
文化創意產業學士學位學程 CRE
創新產業經營學士學位學程 BIN
企劃行銷組 SPM
院本部/各組 IIL
推廣教育組 EEC
進修教育組 DSA
行政庶務組 SGA
